order_id,order_item_id,seller_id,product_id,product_category_name_english,route_state,order_status,price,freight_value,freight_to_price_ratio,product_weight_g,product_volume_cm3
9223919b300f6989e1715333fca0d6ce,1,1835b56ce799e6a4dc4eddc053f04066,26644690fde745fc4654719c3904e1db,bed_bath_table,SP_to_PR,delivered,80.0,16.32,0.204,40425.0,23660.0
4a45f9f66971302cf881ecfa142f42ba,1,1835b56ce799e6a4dc4eddc053f04066,26644690fde745fc4654719c3904e1db,bed_bath_table,SP_to_SC,delivered,80.0,16.32,0.204,40425.0,23660.0
6ecf1a4051b4c5ed613624b460970a26,1,1835b56ce799e6a4dc4eddc053f04066,26644690fde745fc4654719c3904e1db,bed_bath_table,SP_to_SP,delivered,80.0,12.06,0.15075,40425.0,23660.0
3629454fe243df9fe9b49babc52d98e6,1,5d043cd5512d4bd2f88e5ccdd5736c38,ffa4ff381e25872b5bf85353ff7ab0c9,sports_leisure,SP_to_SP,delivered,650.0,64.91,0.0998615384615384,30000.0,179520.0
823e1b55f87736972904ce20e4e90f0a,1,76d5af76d0271110f9af36c92573f765,0a859d8dc68f6a746b4709217110c439,sports_leisure,SP_to_SP,shipped,399.0,87.58,0.2194987468671679,30000.0,225000.0
75da883b23f0ee17fc5811bc5573d225,1,a9415cf907dfa12f9ed18693244f5329,df4566130f96bba07730095eef42389e,kitchen_dining_laundry_garden_furniture,MG_to_MG,delivered,105.0,87.71,0.8353333333333333,30000.0,224720.0
fc80ec53e727cdf78992749b30d5af3a,1,1b1ae47a313a825a7ccceb8e2e30fa9d,d14495a85be157b5cacef4eaaf825791,kitchen_dining_laundry_garden_furniture,PR_to_SP,delivered,519.9,72.52,0.139488363146759,30000.0,100905.0
d6c877d8995925578fdeb1d186915549,1,656591be56071d4c9ef4e5fee78a578a,d0877f0094337c414d23f5a3c7bad20c,office_furniture,SP_to_SP,delivered,430.0,27.52,0.064,30000.0,75000.0
07e85d403be2aca377eebdf6581323fc,1,ae7ab174effdead6c241e547e4ca13f0,c6fdec160d0f8f488d9041316c85051d,furniture_living_room,PR_to_SP,delivered,415.9,104.12,0.2503486415003607,30000.0,288000.0
1b0bca54c8db32dd715f2c60c63268ca,1,2e90cb1677d35cfe24eef47d441b7c87,1c57458e824ca3d974ec1831a1a55e72,pet_shop,SP_to_MS,delivered,99.9,24.52,0.2454454454454454,30000.0,9954.0
a8c02875c8391d968525088da5fce5a6,1,7299e27ed73d2ad986de7f7c77d919fa,869baca73d312aedff033dd09dc28168,auto,MG_to_MS,delivered,1500.0,126.65,0.0844333333333333,30000.0,61250.0
d182d98f09b4277c0d58801e991f7757,1,46dc3b2cc0980fb8ec44634e21d2718e,ab50aa8d9af0addb7f96149c8b8cee86,cool_stuff,RJ_to_MG,delivered,2499.99,127.1,0.0508402033608134,30000.0,281232.0
90ec7e058a164b8dccce02591de2f99a,1,17f51e7198701186712e53a39c564617,9dfef86fb34051388a7263a31642386c,health_beauty,SP_to_RS,delivered,890.0,116.87,0.131314606741573,30000.0,251625.0
75da883b23f0ee17fc5811bc5573d225,2,a9415cf907dfa12f9ed18693244f5329,df4566130f96bba07730095eef42389e,kitchen_dining_laundry_garden_furniture,MG_to_MG,delivered,105.0,87.71,0.8353333333333333,30000.0,224720.0
17c378811f6ab30e2c7d554f2d4fbd44,1,17f51e7198701186712e53a39c564617,97c948ebc8c04b26b7bbb095d4228f2a,health_beauty,SP_to_CE,delivered,1050.0,250.57,0.2386380952380952,30000.0,251625.0
b3fd29980d666178c001b895e9c5eed1,1,17f51e7198701186712e53a39c564617,1d16c0509e7011656e03c6a582ff6667,health_beauty,SP_to_SP,delivered,760.0,58.89,0.0774868421052631,30000.0,251625.0
0231f6b89e5798ff6c0dfb1e18a94da9,1,17f51e7198701186712e53a39c564617,aed75ad669fbebd5a385ac7cc2ae7573,health_beauty,SP_to_SP,delivered,550.0,98.77,0.1795818181818181,30000.0,210000.0
d9a0a18b1a66ffd834bda6afe641531a,1,dc4a0fc896dc34b0d5bfec8438291c80,81258a06e30546c898c31a062ae3da08,bed_bath_table,SP_to_MG,delivered,248.8,21.82,0.087700964630225,30000.0,28595.0
fb415a86a28d4698a9be26d2e871d31c,1,17f51e7198701186712e53a39c564617,aed75ad669fbebd5a385ac7cc2ae7573,health_beauty,SP_to_BA,delivered,550.0,135.4,0.2461818181818182,30000.0,210000.0
7769fd866a4a22e50c08f6dcdeb462b7,1,cd843d4cf8ef32827de0396605163ba3,8b7a9eed0d30c43346eb8de2d821b2fb,kitchen_dining_laundry_garden_furniture,MG_to_MG,delivered,289.0,81.92,0.2834602076124567,30000.0,203680.0
9d92d6b679a62c069b6c7d7ecc1a4b90,1,17f51e7198701186712e53a39c564617,1d16c0509e7011656e03c6a582ff6667,health_beauty,SP_to_SP,delivered,760.0,85.81,0.1129078947368421,30000.0,251625.0
6c1d2589bb92157989da84b6f7ac8ef6,1,17f51e7198701186712e53a39c564617,bbc5419bc92d76e27795c9ec2c233c64,health_beauty,SP_to_CE,delivered,680.0,184.98,0.2720294117647058,30000.0,251625.0
83b11638ea5fdb78656168614f8afdf2,1,729f06993dac8e860d4f02d7088ca48a,d239ed6ed6dabbcbfd8a3b776e1ca50c,housewares,SP_to_SP,delivered,389.9,83.04,0.2129776865863042,30000.0,216000.0
1824eec8dca4bdc04b3bb13cb7451e0a,1,729f06993dac8e860d4f02d7088ca48a,59f09deeea7c839a9212a19f3416b892,housewares,SP_to_RJ,delivered,379.9,146.21,0.3848644380100027,30000.0,114840.0
1d93c24a42872d2410be202e128bf5c3,1,729f06993dac8e860d4f02d7088ca48a,d239ed6ed6dabbcbfd8a3b776e1ca50c,housewares,SP_to_SP,delivered,339.9,63.33,0.1863195057369814,30000.0,216000.0
